County,Inspection_Grade,Inspection Date,Owner_Name,Trade_Name,Street,City,State Code,Zip_Code,Deficiency Number,Deficiency Description,Location 1
Bronx,C,11/21/18,ESPINAL MEAT MARKET CORP,ESPINAL MEAT MARKET,1039 OGDEN AVE,BRONX,NY,10452,04A,"Food contact equipment, utensils or conveyances for potentially hazardous foods:  contact surfaces unclean or not properly sanitized and likely to contribute to contamination","1039 OGDEN AVE
BRONX, NY 10452
(40.834014, -73.928774)"
Bronx,C,7/23/18,BESBAS DELI GROCERY INC,BESBAS DELI GROCERY,1718 SOUTHERN BLVD #,BRONX,NY,10460,02D,Other adulterated / unfit foods or ingredients,"1718 SOUTHERN BLVD
BRONX, NY 10460
(40.836976, -73.888065)"
Bronx,C,8/29/18,BROOKS AVE FOOD ADVANTAGE CORP,C TOWN,228 BROOK AVE,BRONX,NY,10454,06B,Potentially hazardous foods are not stored at safe temperatures,"228 BROOK AVE
BRONX, NY 10454
(40.807079, -73.919575)"
Bronx,C,10/31/18,BEDFORD BOULEVARD FOOD CORP,CHERRY VALLEY MARKETPLA,2870 WEBSTER AVE,BRONX,NY,10458,04A,"Food contact equipment, utensils or conveyances for potentially hazardous foods:  contact surfaces unclean or not properly sanitized and likely to contribute to contamination","2870 WEBSTER AVE
BRONX, NY 10458
(40.866992, -73.883988)"
Bronx,C,10/25/18,CAMSENA MEAT CORP,MET FOOD,277 E 198TH ST,BRONX,NY,10458,04A,"Food contact equipment, utensils or conveyances for potentially hazardous foods:  contact surfaces unclean or not properly sanitized and likely to contribute to contamination","277 E 198TH ST
BRONX, NY 10458
(40.868678, -73.888474)"
Bronx,B,10/2/18,DANS SUPREME SUPERMARKETS INC,KEY FOOD 1515,540 W 235TH ST #,BRONX,NY,10463,06A,Potentially hazardous foods are not cooled by an approved method where the product temperature can be reduced to 70?F or less within two hours and 41?F or less within an additional 4 hours,"540 W 235TH ST
BRONX, NY 10463
(40.885567, -73.909489)"
Bronx,B,11/2/18,BEST & TASTY DELI GROCERY CORP,BEST & TASTY DELI GROCE,260 E 143RD ST,BRONX,NY,10451,06A,Potentially hazardous foods are not cooled by an approved method where the product temperature can be reduced to 70?F or less within two hours and 41?F or less within an additional 4 hours,"260 E 143RD ST
BRONX, NY 10451
(40.815155, -73.924339)"
Bronx,C,9/13/18,JEROME HALAL MEAT & FISH MKT CORP,JEROME HALAL MEAT & FIS,1876 JEROME AVE,BRONX,NY,10453,04A,"Food contact equipment, utensils or conveyances for potentially hazardous foods:  contact surfaces unclean or not properly sanitized and likely to contribute to contamination","1876 JEROME AVE
BRONX, NY 10453
(40.849608, -73.911003)"
Bronx,C,9/14/18,FIRST GOLD COAST CORP,GOLD COAST TRADING CO,381 CANAL PL,BRONX,NY,10451,05B,Critical Processing or Salvaging Parameters are not met,"381 CANAL PL
BRONX, NY 10451
(40.81532, -73.926094)"
Bronx,C,11/21/18,ESPINAL MEAT MARKET CORP,ESPINAL MEAT MARKET,1039 OGDEN AVE,BRONX,NY,10452,03C,Food handlers do not wash hands thoroughly after contaminating them,"1039 OGDEN AVE
BRONX, NY 10452
(40.834014, -73.928774)"
Bronx,C,9/7/18,D & D DELI GROCERY 2016 INC,D & D DELI GROCERY,100 W 168TH STREET,BRONX,NY,10452,08B,"Hot-holding equipment improperly designed, maintained, or operated to keep hot foods at 135?F or above","100 W 168TH STREET
BRONX, NY 10452
(40.838301, -73.924592)"
Bronx,C,10/9/18,CLASSIC DELI CORP,CLASSIC DELI,1452 E GUN HILL ROAD ,BRONX,NY,10469,02D,Other adulterated / unfit foods or ingredients,"1452 E GUN HILL ROAD
BRONX, NY 10469
(40.86934, -73.844063)"
Bronx,C,7/19/18,DECATUR DELI FOOD CORP,DECATUR DELI FOOD,365 EAST 193RD STREET,BRONX,NY,10458,04A,"Food contact equipment, utensils or conveyances for potentially hazardous foods:  contact surfaces unclean or not properly sanitized and likely to contribute to contamination","365 EAST 193RD STREET
BRONX, NY 10458
(40.863142, -73.890951)"
Bronx,C,9/21/18,COUSINS MEATS AND FISH MARKET LLC,COUSINS MEATS AND FISH,1443 WEBSTER AVE #A,BRONX,NY,10456,04A,"Food contact equipment, utensils or conveyances for potentially hazardous foods:  contact surfaces unclean or not properly sanitized and likely to contribute to contamination","1443 WEBSTER AVE
BRONX, NY 10456
(40.837461, -73.906733)"
Bronx,C,10/22/18,BIRCHALL DELI AND CANDY INC,BIRCHALL DELI AND CANDY,1976 BIRCHALL AVE,BRONX,NY,10462,04A,"Food contact equipment, utensils or conveyances for potentially hazardous foods:  contact surfaces unclean or not properly sanitized and likely to contribute to contamination","1976 BIRCHALL AVE
BRONX, NY 10462
(40.848594, -73.868595)"
Bronx,C,11/13/18,C&R FOOD CORP,FINE FARE SUPERMARKET,708 E TREMONT AVE,BRONX,NY,10457,04A,"Food contact equipment, utensils or conveyances for potentially hazardous foods:  contact surfaces unclean or not properly sanitized and likely to contribute to contamination","708 E TREMONT AVE
BRONX, NY 10457
(40.845167, -73.890625)"
Bronx,C,10/4/18,L W AFRICAN MARKET INC,L W AFRICAN MARKET,3394 3RD AVE,BRONX,NY,10456,08A,Potentially hazardous foods are being kept below 135?F during hot-holding (rare roast beef may be served at 130?F or above),"3394 3RD AVE
BRONX, NY 10456
(40.827809, -73.90723)"
Bronx,C,9/14/18,KINGS FINEST DELI INC,KINGS FINEST DELI  8/1/,25 E GUN HILL RD,BRONX,NY,10467,04A,"Food contact equipment, utensils or conveyances for potentially hazardous foods:  contact surfaces unclean or not properly sanitized and likely to contribute to contamination","25 E GUN HILL RD
BRONX, NY 10467
(40.88233, -73.88063)"
Bronx,C,9/7/18,GARCIA MINI MARKET CORP,GARCIA MINI MARKET,1217 SHERMAN AVE,BRONX,NY,10456,04A,"Food contact equipment, utensils or conveyances for potentially hazardous foods:  contact surfaces unclean or not properly sanitized and likely to contribute to contamination","1217 SHERMAN AVE
BRONX, NY 10456
(40.834028, -73.915743)"
Bronx,B,11/1/18,BODEGA BUILT INC,BODEGA BUILT,601 E 180TH ST,BRONX,NY,10457,04A,"Food contact equipment, utensils or conveyances for potentially hazardous foods:  contact surfaces unclean or not properly sanitized and likely to contribute to contamination","601 E 180TH ST
BRONX, NY 10457
(40.849357, -73.89131)"
Bronx,C,9/14/18,KINGS FINEST DELI INC,KINGS FINEST DELI  8/1/,25 E GUN HILL RD,BRONX,NY,10467,06B,Potentially hazardous foods are not stored at safe temperatures,"25 E GUN HILL RD
BRONX, NY 10467
(40.88233, -73.88063)"
Bronx,B,10/2/18,DANS SUPREME SUPERMARKETS INC,KEY FOOD 1515,540 W 235TH ST #,BRONX,NY,10463,02D,Other adulterated / unfit foods or ingredients,"540 W 235TH ST
BRONX, NY 10463
(40.885567, -73.909489)"
Bronx,C,11/2/18,HERNANDEZ MARKET INC,HERNANDEZ MARKET,131 TERRACE VIEW AVE,BRONX,NY,10463,08A,Potentially hazardous foods are being kept below 135?F during hot-holding (rare roast beef may be served at 130?F or above),"131 TERRACE VIEW AVE
BRONX, NY 10463
(40.87598, -73.912864)"
Bronx,B,10/2/18,DANS SUPREME SUPERMARKETS INC,KEY FOOD 1515,540 W 235TH ST #,BRONX,NY,10463,04A,"Food contact equipment, utensils or conveyances for potentially hazardous foods:  contact surfaces unclean or not properly sanitized and likely to contribute to contamination","540 W 235TH ST
BRONX, NY 10463
(40.885567, -73.909489)"
Bronx,B,11/27/18,JV BRONX FOOD CORP,BRAVO SUPERMARKET,2285 GRAND CONCOURSE,BRONX,NY,10453,04A,"Food contact equipment, utensils or conveyances for potentially hazardous foods:  contact surfaces unclean or not properly sanitized and likely to contribute to contamination","2285 GRAND
BRONX, NY 10453
(40.858818, -73.905818)"
Bronx,C,8/21/18,GENESIS SUPERETTE II INC,GENESIS SUPERETTE II,150 W FORDHAM RD,BRONX,NY,10468,06B,Potentially hazardous foods are not stored at safe temperatures,"150 W FORDHAM RD
BRONX, NY 10468
(40.862828, -73.907861)"
Bronx,B,11/1/18,BODEGA BUILT INC,BODEGA BUILT,601 E 180TH ST,BRONX,NY,10457,06B,Potentially hazardous foods are not stored at safe temperatures,"601 E 180TH ST
BRONX, NY 10457
(40.849357, -73.89131)"
Bronx,C,10/31/18,BEDFORD BOULEVARD FOOD CORP,CHERRY VALLEY MARKETPLA,2870 WEBSTER AVE,BRONX,NY,10458,06B,Potentially hazardous foods are not stored at safe temperatures,"2870 WEBSTER AVE
BRONX, NY 10458
(40.866992, -73.883988)"
Bronx,C,9/7/18,GARCIA MINI MARKET CORP,GARCIA MINI MARKET,1217 SHERMAN AVE,BRONX,NY,10456,08B,"Hot-holding equipment improperly designed, maintained, or operated to keep hot foods at 135?F or above","1217 SHERMAN AVE
BRONX, NY 10456
(40.834028, -73.915743)"
Bronx,C,10/22/18,BENS MEAT O MAT RIVERDALE INC,BENS MARKET,19 KNOLLS CRESCENT,BRONX,NY,10463,06A,Potentially hazardous foods are not cooled by an approved method where the product temperature can be reduced to 70?F or less within two hours and 41?F or less within an additional 4 hours,"19 KNOLLS CRESCENT
BRONX, NY 10463
(40.878698, -73.917626)"
Bronx,C,9/7/18,D & D DELI GROCERY 2016 INC,D & D DELI GROCERY,100 W 168TH STREET,BRONX,NY,10452,04A,"Food contact equipment, utensils or conveyances for potentially hazardous foods:  contact surfaces unclean or not properly sanitized and likely to contribute to contamination","100 W 168TH STREET
BRONX, NY 10452
(40.838301, -73.924592)"
Bronx,C,9/19/18,DIKO MUHAMADOU,MD AFRICAN MKT & DISCOU,2252 WEBSTER AVE,BRONX,NY,10457,04A,"Food contact equipment, utensils or conveyances for potentially hazardous foods:  contact surfaces unclean or not properly sanitized and likely to contribute to contamination","2252 WEBSTER AVE
BRONX, NY 10457
(40.855696, -73.895945)"
Bronx,C,10/9/18,FREDARLET DELI GROCERY CORP,FREDARLET DELI GROCERY,1575-1579 WALTON AVE,BRONX,NY,10452,04A,"Food contact equipment, utensils or conveyances for potentially hazardous foods:  contact surfaces unclean or not properly sanitized and likely to contribute to contamination","1575 1579 WALTON AVE
BRONX, NY 10452
(40.843346, -73.913246)"
Bronx,C,10/3/18,PAMELAS GREEN DELI I CORP,PAMELAS GREEN DELI I,785 EAST 163RD STREET,BRONX,NY,10456,06B,Potentially hazardous foods are not stored at safe temperatures,"785 EAST 163RD STREET
BRONX, NY 10456
(40.822641, -73.902823)"
Bronx,C,9/13/18,TREMONT FISH CORP,TREMONT FISH,725 E TREMONT AVE,BRONX,NY,10457,04A,"Food contact equipment, utensils or conveyances for potentially hazardous foods:  contact surfaces unclean or not properly sanitized and likely to contribute to contamination","725 E TREMONT AVE
BRONX, NY 10457
(40.845004, -73.890292)"
Bronx,C,5/25/18,UOYA INC,APOLLO FISH,1241 VIELE AVE,BRONX,NY,10474,05B,Critical Processing or Salvaging Parameters are not met,"1241 VIELE AVE
BRONX, NY 10474
(40.806443, -73.88703)"
Bronx,B,9/21/18,WESTERN BEEF RETAIL INC,WESTERN BEEF 35,831 ROSEDALE AVE,BRONX,NY,10473,02D,Other adulterated / unfit foods or ingredients,"831 ROSEDALE AVE
BRONX, NY 10473
(40.822052, -73.86695)"
Bronx,C,9/13/18,ZMM DELI & MEAT MARKET INC,ZMM DELI & MEAT MARKET,3607 BRONXWOOD AVE,BRONX,NY,10469,02D,Other adulterated / unfit foods or ingredients,"3607 BRONXWOOD AVE
BRONX, NY 10469
(40.878022, -73.859115)"
Bronx,C,10/30/18,RRR MEAT & FISH MARKET CORP,RRR MEAT & FISH MARKET,3994 WHITE PLAINS RD,BRONX,NY,10466,04A,"Food contact equipment, utensils or conveyances for potentially hazardous foods:  contact surfaces unclean or not properly sanitized and likely to contribute to contamination","3994 WHITE PLAINS RD
BRONX, NY 10466
(40.888365, -73.860172)"
Bronx,C,10/17/18,PALMA NUEVA FOODS CORP,FOODTOWN SUPERMARKET,3471 BOSTON POST RD,BRONX,NY,10469,02D,Other adulterated / unfit foods or ingredients,"3471 BOSTON POST RD
BRONX, NY 10469
(40.876564, -73.847816)"
Bronx,C,4/3/18,RANDAZZOS SEAFOOD INC,RANDAZZOS FISH MARKET,2327 ARTHUR AVE,BRONX,NY,10458,06B,Potentially hazardous foods are not stored at safe temperatures,"2327 ARTHUR AVE
BRONX, NY 10458
(40.854007, -73.888887)"
Bronx,C,3/22/18,RUANES DELI INC,RUANE'S DELI,2 CENTRE EDGEWATER PARK DR,BRONX,NY,10465,06B,Potentially hazardous foods are not stored at safe temperatures,"2 CENTRE EDGEWATER PARK DR
BRONX, NY 10465
(40.823054, -73.812339)"
Bronx,C,8/29/18,NUNEZ KURET MARKET CORP,PAPA CHU'S CRNR DELI GR,759-765 COMMONWEALTH AVE,BRONX,NY,10473,06B,Potentially hazardous foods are not stored at safe temperatures,"759 765 COMMONWEALTH AVE
BRONX, NY 10473
(40.820829, -73.865696)"
Bronx,C,10/26/18,RANIA DELI GROCERY CORP,RANIA DELI GROCERY,554 MORRIS AVE ,BRONX,NY,10451,04A,"Food contact equipment, utensils or conveyances for potentially hazardous foods:  contact surfaces unclean or not properly sanitized and likely to contribute to contamination","554 MORRIS AVE
BRONX, NY 10451
(40.817632, -73.922656)"
Broome,C,11/30/18,SPEEDWAY LLC,EXPRESS MART #338/SPEED,16 NORTH RD,WINDSOR,NY,13865,06B,Potentially hazardous foods are not stored at safe temperatures,"16 NORTH RD
WINDSOR, NY 13865
(42.09509, -75.75705)"
Bronx,B,6/1/18,SHINING STAR DELI GROCERY CORP,SHINING STAR DELI GROCE,3489A BOSTON RD,BRONX,NY,10469,06B,Potentially hazardous foods are not stored at safe temperatures,"3489A BOSTON RD
BRONX, NY 10469
(40.876872, -73.846895)"
Bronx,C,10/17/18,PALMA NUEVA FOODS CORP,FOODTOWN SUPERMARKET,3471 BOSTON POST RD,BRONX,NY,10469,06B,Potentially hazardous foods are not stored at safe temperatures,"3471 BOSTON POST RD
BRONX, NY 10469
(40.876564, -73.847816)"
Bronx,B,10/18/18,ROYAL ONE STOP SUPERMARKET CORP,ROYAL ONE STOP SUPERMAR,1230A JEROME AVE,BRONX,NY,10452,04A,"Food contact equipment, utensils or conveyances for potentially hazardous foods:  contact surfaces unclean or not properly sanitized and likely to contribute to contamination","1230A JEROME AVE
BRONX, NY 10452
(40.836664, -73.921537)"
Bronx,C,10/26/18,RANIA DELI GROCERY CORP,RANIA DELI GROCERY,554 MORRIS AVE ,BRONX,NY,10451,03C,Food handlers do not wash hands thoroughly after contaminating them,"554 MORRIS AVE
BRONX, NY 10451
(40.817632, -73.922656)"
Bronx,C,11/27/18,SAZON DELI GROCERY CORP,SAZON DELI GROCERY,131 E 183RD STREET,BRONX,NY,10453,02D,Other adulterated / unfit foods or ingredients,"131 E 183RD STREET
BRONX, NY 10453
(40.857759, -73.900937)"
Bronx,B,8/29/18,SYLVIAS DELI & GROCERY INC,SYLVIAS DELI & GROCERY,1616 BRUCKNER BLVD,BRONX,NY,10473,06B,Potentially hazardous foods are not stored at safe temperatures,"1616 BRUCKNER BLVD
BRONX, NY 10473
(40.823913, -73.874559)"
Broome,C,10/29/18,JAYS ONE STOP INC,JAYS ONE STOP,28 EXCHANGE ST,BINGHAMTON,NY,13901,04A,"Food contact equipment, utensils or conveyances for potentially hazardous foods:  contact surfaces unclean or not properly sanitized and likely to contribute to contamination","28 EXCHANGE ST
BINGHAMTON, NY 13901
(42.096009, -75.908982)"
Broome,C,10/29/18,JAYS ONE STOP INC,JAYS ONE STOP,28 EXCHANGE ST,BINGHAMTON,NY,13901,06B,Potentially hazardous foods are not stored at safe temperatures,"28 EXCHANGE ST
BINGHAMTON, NY 13901
(42.096009, -75.908982)"
Bronx,C,11/15/18,WESTFIELD MARKET DELI CORP,WESTFIELD MARKET,3202 AMPERE AVE,BRONX,NY,10465,04A,"Food contact equipment, utensils or conveyances for potentially hazardous foods:  contact surfaces unclean or not properly sanitized and likely to contribute to contamination","3202 AMPERE AVE
BRONX, NY 10465
(40.846251, -73.820932)"
Broome,B,9/25/18,MIRABITO HOLDINGS INC,QUICKWAY 53,1231 CAMPVILLE RD,ENDICOTT,NY,13760,08A,Potentially hazardous foods are being kept below 135?F during hot-holding (rare roast beef may be served at 130?F or above),"1231 CAMPVILLE RD
ENDICOTT, NY 13760
(42.090131, -76.095084)"
Broome,C,10/29/18,COLUMBUS PARK DELI AND GROCERY IN,COLUMBUS PARK DELI AND,121 SUSQUEHANNNA ST,BINGHAMTON,NY,13901,04A,"Food contact equipment, utensils or conveyances for potentially hazardous foods:  contact surfaces unclean or not properly sanitized and likely to contribute to contamination","121 SUSQUEHANNNA ST
BINGHAMTON, NY 13901
(42.096679, -75.905632)"
Bronx,C,10/30/18,VIELMA NICHOLAS,LA MERCED MEXICANA,353 E 138TH ST,BRONX,NY,10454,04A,"Food contact equipment, utensils or conveyances for potentially hazardous foods:  contact surfaces unclean or not properly sanitized and likely to contribute to contamination","353 E 138TH ST
BRONX, NY 10454
(40.809665, -73.924217)"
Bronx,C,10/30/18,SALCEDO SUPERMARKET CORP,SALCEDO SUPERMARKET,1318 LAFAYETTE AVE STORE 1-2-3,BRONX,NY,10474,06B,Potentially hazardous foods are not stored at safe temperatures,"1318 LAFAYETTE AVE
BRONX, NY 10474
(40.816835, -73.886419)"
Bronx,B,11/30/18,PLAZA BANI FOOD CORP,LA PLACITA BENILEJA,3001 KINGSBRIDGE TERR,BRONX,NY,10463,04A,"Food contact equipment, utensils or conveyances for potentially hazardous foods:  contact surfaces unclean or not properly sanitized and likely to contribute to contamination","3001 KINGSBRIDGE TERR
BRONX, NY 10463
(40.875907, -73.901964)"
Bronx,B,6/1/18,SHINING STAR DELI GROCERY CORP,SHINING STAR DELI GROCE,3489A BOSTON RD,BRONX,NY,10469,03E,"Employees handling exposed, ready-to-eat foods without an acceptable protective barrier","3489A BOSTON RD
BRONX, NY 10469
(40.876872, -73.846895)"
Bronx,C,8/6/18,RED&WHITE MARKETS INC,MORTON WILLIAMS SPRMRKT,15 E KINGSBRIDGE RD,BRONX,NY,10468,04C,"Ready-to-eat foods are subjected to cross contamination from raw foods, or cross contamination between species is likely to occur","15 E KINGSBRIDGE RD
BRONX, NY 10468
(40.867234, -73.896737)"
Bronx,C,10/3/18,PAMELAS GREEN DELI I CORP,PAMELAS GREEN DELI I,785 EAST 163RD STREET,BRONX,NY,10456,04A,"Food contact equipment, utensils or conveyances for potentially hazardous foods:  contact surfaces unclean or not properly sanitized and likely to contribute to contamination","785 EAST 163RD STREET
BRONX, NY 10456
(40.822641, -73.902823)"
Bronx,B,10/19/18,MI MEXICO FRUIT GROCERY CORP,MI MEXICO FRUIT GROCERY,"530 E 138TH ST, STORE 1",BRONX,NY,10454,04A,"Food contact equipment, utensils or conveyances for potentially hazardous foods:  contact surfaces unclean or not properly sanitized and likely to contribute to contamination","530 E 138TH ST
BRONX, NY 10454
(40.807187, -73.918347)"
Bronx,C,4/3/18,RANDAZZOS SEAFOOD INC,RANDAZZOS FISH MARKET,2327 ARTHUR AVE,BRONX,NY,10458,05B,Critical Processing or Salvaging Parameters are not met,"2327 ARTHUR AVE
BRONX, NY 10458
(40.854007, -73.888887)"
Broome,B,11/23/18,SALAH A SALAH,PRINCE MART INC,55 ROBINSON ST,BINGHAMTON,NY,13901,04A,"Food contact equipment, utensils or conveyances for potentially hazardous foods:  contact surfaces unclean or not properly sanitized and likely to contribute to contamination","55 ROBINSON ST
BINGHAMTON, NY 13901
(42.106909, -75.899787)"
Bronx,C,10/18/18,NEW KUKUS MARKET CORP,NEW KUKUS MARKET,111 EAST 167TH STREET ,BRONX,NY,10452,08A,Potentially hazardous foods are being kept below 135?F during hot-holding (rare roast beef may be served at 130?F or above),"111 EAST 167TH STREET
BRONX, NY 10452
(40.835046, -73.918961)"
Broome,C,10/29/18,COLUMBUS PARK DELI AND GROCERY IN,COLUMBUS PARK DELI AND,121 SUSQUEHANNNA ST,BINGHAMTON,NY,13901,02D,Other adulterated / unfit foods or ingredients,"121 SUSQUEHANNNA ST
BINGHAMTON, NY 13901
(42.096679, -75.905632)"
Bronx,C,8/6/18,SAN JOSE MINI MARKET CORP,SAN JOSE MINI MARKET,1055 WALTON AVE,BRONX,NY,10452,04A,"Food contact equipment, utensils or conveyances for potentially hazardous foods:  contact surfaces unclean or not properly sanitized and likely to contribute to contamination","1055 WALTON AVE
BRONX, NY 10452
(40.831591, -73.921512)"
Bronx,C,9/26/18,V&E DELI GROCERY CORP,V&E DELI GROCERY,105 EAST CLARKE PLACE,BRONX,NY,10452,04A,"Food contact equipment, utensils or conveyances for potentially hazardous foods:  contact surfaces unclean or not properly sanitized and likely to contribute to contamination","105 EAST CLARKE PLACE
BRONX, NY 10452
(40.837617, -73.91704)"
Bronx,B,11/27/18,WANDA RP CORP,WANDA RP,104 ELLIOT PLACE,BRONX,NY,10452,04C,"Ready-to-eat foods are subjected to cross contamination from raw foods, or cross contamination between species is likely to occur","104 ELLIOT PLACE
BRONX, NY 10452
(40.838852, -73.91617)"
Broome,B,11/23/18,MIRABITO HOLDINGS INC,MIRABITO STORE #103,520 CHENANGO ST,BINGHAMTON,NY,13901,06B,Potentially hazardous foods are not stored at safe temperatures,"520 CHENANGO ST
BINGHAMTON, NY 13901
(42.117852, -75.90169)"
Clinton,B,10/31/18,JPROULX INC,SAVE A LOT STORE #45129,316 CORNELIA,PLATTSBURGH,NY,12901,04A,"Food contact equipment, utensils or conveyances for potentially hazardous foods:  contact surfaces unclean or not properly sanitized and likely to contribute to contamination","316 CORNELIA
PLATTSBURGH, NY 12901
(44.697384, -73.478362)"
Clinton,B,10/10/18,SONIS OIL CORPORATION,SOUTHSIDE GROCERY,4788 CRETE BLVD,PLATTSBURGH,NY,12901,08B,"Hot-holding equipment improperly designed, maintained, or operated to keep hot foods at 135?F or above","4788 CRETE BLVD
PLATTSBURGH, NY 12901
(44.6745, -73.461981)"
Columbia,B,11/14/18,ALDI INC,ALDI 16,300 FAIRVIEW AVE #,HUDSON,NY,12534,06B,Potentially hazardous foods are not stored at safe temperatures,"300 FAIRVIEW AVE
HUDSON, NY 12534
(42.265806, -73.762851)"
Delaware,C,9/25/18,MIRABITO HOLDINGS INC,QUICKWAY 28,494 W MAIN ST,HANCOCK,NY,13783,04A,"Food contact equipment, utensils or conveyances for potentially hazardous foods:  contact surfaces unclean or not properly sanitized and likely to contribute to contamination","494 W MAIN ST
HANCOCK, NY 13783
(41.95608, -75.291676)"
Cortland,B,10/30/18,CORTLAND PRODUCE INC,CP CASH&CARRY,32-34 OWEGO ST  ,CORTLAND,NY,13045,02D,Other adulterated / unfit foods or ingredients,"32 34 OWEGO ST
CORTLAND, NY 13045
(42.592642, -76.18504)"
Columbia,B,6/7/18,CHATHAM CHEESE INC,BIMIS CHEESE SHOP,21 MAIN,CHATHAM,NY,12037,05B,Critical Processing or Salvaging Parameters are not met,"21 MAIN
CHATHAM, NY 12037
(42.362692, -73.596044)"
Erie,C,8/6/18,AN CHAU ASIAN MARKET INC,AN CHAU ORIENTAL FOODS,3306 BAILEY AVE,BUFFALO,NY,14215,04A,"Food contact equipment, utensils or conveyances for potentially hazardous foods:  contact surfaces unclean or not properly sanitized and likely to contribute to contamination","3306 BAILEY AVE
BUFFALO, NY 14215
(42.94488, -78.813668)"
Erie,C,10/10/18,KK FOOD MART INC,KK FOOD MART,3846 SOUTHWESTERN BLVD,ORCHARD PARK,NY,14127,06B,Potentially hazardous foods are not stored at safe temperatures,"3846 SOUTHWESTERN BLVD
ORCHARD PARK, NY 14127
(42.778212, -78.789088)"
Dutchess,C,9/20/18,R&D FOOD STORE INC,DIMPIS FOOD MART & DELI,9 N CLOVER ST  #,POUGHKEEPSIE,NY,12601,04A,"Food contact equipment, utensils or conveyances for potentially hazardous foods:  contact surfaces unclean or not properly sanitized and likely to contribute to contamination","9 N CLOVER ST
POUGHKEEPSIE, NY 12601
(41.705995, -73.935427)"
Erie,B,10/18/18,DOYLES FOOD INC,DOYLES FOOD,1981 NIAGARA ST,BUFFALO,NY,14207,02D,Other adulterated / unfit foods or ingredients,"1981 NIAGARA ST
BUFFALO, NY 14207
(42.937902, -78.903984)"
Erie,C,11/15/18,AFRICAN MARKET CENTER INC,AFRICAN MARKET CENTER,355 GRANT ST,BUFFALO,NY,14213,08A,Potentially hazardous foods are being kept below 135?F during hot-holding (rare roast beef may be served at 130?F or above),"355 GRANT ST
BUFFALO, NY 14213
(42.923741, -78.889907)"
Erie,C,10/25/18,FEDERAL MARKET CO INC,FEDERAL MEATS,3863 DELAWARE AVE,BUFFALO,NY,14217,02D,Other adulterated / unfit foods or ingredients,"3863 DELAWARE AVE
BUFFALO, NY 14217
(42.989375, -78.873457)"
Erie,C,11/14/18,LUPAS PETRU,LUPAS MEATS,999 BROADWAY STAND 34,BUFFALO,NY,14212,03E,"Employees handling exposed, ready-to-eat foods without an acceptable protective barrier","999 BROADWAY
BUFFALO, NY 14212
(42.893309, -78.837813)"
Erie,C,10/1/18,14TH STREET CORNER MART INC,14TH STREET CORNER MART,294 VERMONT ST,BUFFALO,NY,14213,06B,Potentially hazardous foods are not stored at safe temperatures,"294 VERMONT ST
BUFFALO, NY 14213
(42.907995, -78.888062)"
Erie,C,10/3/18,ALI MOHSIN F,WEST MARKET,1032 WEST AVE,BUFFALO,NY,14213,02D,Other adulterated / unfit foods or ingredients,"1032 WEST AVE
BUFFALO, NY 14213
(42.918415, -78.897053)"
Erie,C,9/21/18,ALJAMALI HIZAM,BILLS FOOD MART,32 ALLEN ST,BUFFALO,NY,14202,02D,Other adulterated / unfit foods or ingredients,"32 ALLEN ST
BUFFALO, NY 14202
(42.899403, -78.871325)"
Erie,C,11/15/18,ALKHOBARI ANEESA N,BUFFALO ZIP'S MARKET,896 NIAGARA STREET,BUFFALO,NY,14213,02D,Other adulterated / unfit foods or ingredients,"896 NIAGARA STREET
BUFFALO, NY 14213
(42.9077, -78.898213)"
Erie,C,11/14/18,LUPAS PETRU,LUPAS MEATS,999 BROADWAY STAND 34,BUFFALO,NY,14212,04C,"Ready-to-eat foods are subjected to cross contamination from raw foods, or cross contamination between species is likely to occur","999 BROADWAY
BUFFALO, NY 14212
(42.893309, -78.837813)"
Erie,B,11/13/18,M&M MINI MART & DELI INC,M&M MINI MART & DELI,465 BEST ST,BUFFALO,NY,14208,02D,Other adulterated / unfit foods or ingredients,"465 BEST ST
BUFFALO, NY 14208
(42.903808, -78.850901)"
Dutchess,C,11/29/18,GARDEN MINI DELI INC,GARDEN MINI DELI,163 GARDEN ST,POUGHKEEPSIE,NY,12601,02D,Other adulterated / unfit foods or ingredients,"163 GARDEN ST
POUGHKEEPSIE, NY 12601
(41.711799, -73.923244)"
Jefferson,B,5/3/18,BUSHEY JOHN,JB'S MEAT SHOP,118 CANAL ST,CARTHAGE,NY,13619,05B,Critical Processing or Salvaging Parameters are not met,"118 CANAL ST
CARTHAGE, NY 13619
(43.976402, -75.611396)"
Franklin,C,11/13/18,LAVIGNE&SONS LLC,IGA LAVIGNES,PO BOX 158 6081 ST RT 11,CHATEAUGAY,NY,12920,02D,Other adulterated / unfit foods or ingredients,"11 CHATEAUGAY
NY 12920
(44.882902, -73.414428)"
Kings,C,8/31/18,579 AMERICAN GROCERY CORP,579 AMERICAN GROCERY,579 NOSTRAND AVE,BROOKLYN,NY,11216,04A,"Food contact equipment, utensils or conveyances for potentially hazardous foods:  contact surfaces unclean or not properly sanitized and likely to contribute to contamination","579 NOSTRAND AVE
BROOKLYN, NY 11216
(40.677382, -73.949789)"
Herkimer,B,10/17/18,FASTRAC MARKETS LLC,FASTRAC MARKET 275,201 W STATE ST,HERKIMER,NY,13350,07C,Other potentially hazardous foods requiring cooking are not heated to and/or held at required temperatures,"201 W STATE ST
HERKIMER, NY 13350
(43.024431, -74.987821)"
